,^GSPC,date
136,1361.219971,2011-06-01 00:00:00
137,1314.550049,2011-07-01 00:00:00
138,1339.670044,2011-08-01 00:00:00
139,1286.939941,2011-09-01 00:00:00
140,1204.420044,2011-10-01 00:00:00
141,1099.22998,2011-11-01 00:00:00
142,1218.280029,2011-12-01 00:00:00
143,1244.579956,2012-01-01 00:00:00
144,1277.060059,2012-02-01 00:00:00
145,1324.089966,2012-03-01 00:00:00
146,1374.089966,2012-04-01 00:00:00
147,1419.040039,2012-05-01 00:00:00
148,1405.819946,2012-06-01 00:00:00
149,1278.040039,2012-07-01 00:00:00
150,1365.51001,2012-08-01 00:00:00
151,1375.319946,2012-09-01 00:00:00
152,1404.939941,2012-10-01 00:00:00
153,1444.48999,2012-11-01 00:00:00
154,1427.589966,2012-12-01 00:00:00
155,1409.459961,2013-01-01 00:00:00
156,1462.420044,2013-02-01 00:00:00
157,1513.170044,2013-03-01 00:00:00
158,1518.199951,2013-04-01 00:00:00
159,1562.170044,2013-05-01 00:00:00
160,1582.699951,2013-06-01 00:00:00
161,1640.420044,2013-07-01 00:00:00
162,1614.959961,2013-08-01 00:00:00
163,1706.869995,2013-09-01 00:00:00
164,1639.77002,2013-10-01 00:00:00
165,1695,2013-11-01 00:00:00
166,1761.640015,2013-12-01 00:00:00
167,1800.900024,2014-01-01 00:00:00
168,1831.97998,2014-02-01 00:00:00
169,1741.890015,2014-03-01 00:00:00
170,1845.72998,2014-04-01 00:00:00
171,1885.52002,2014-05-01 00:00:00
172,1883.680054,2014-06-01 00:00:00
173,1924.969971,2014-07-01 00:00:00
174,1973.319946,2014-08-01 00:00:00
175,1925.150024,2014-09-01 00:00:00
176,2002.280029,2014-10-01 00:00:00
177,1946.160034,2014-11-01 00:00:00
178,2017.810059,2014-12-01 00:00:00
179,2053.439941,2015-01-01 00:00:00
180,2058.199951,2015-02-01 00:00:00
181,2020.849976,2015-03-01 00:00:00
182,2117.389893,2015-04-01 00:00:00
183,2059.689941,2015-05-01 00:00:00
184,2108.290039,2015-06-01 00:00:00
185,2111.72998,2015-07-01 00:00:00
186,2077.419922,2015-08-01 00:00:00
187,2098.040039,2015-09-01 00:00:00
188,1913.849976,2015-10-01 00:00:00
189,1923.819946,2015-11-01 00:00:00
190,2104.050049,2015-12-01 00:00:00
191,2102.629883,2016-01-01 00:00:00
192,2012.660034,2016-02-01 00:00:00
193,1939.380005,2016-03-01 00:00:00
194,1978.349976,2016-04-01 00:00:00
195,2072.780029,2016-05-01 00:00:00
196,2081.429932,2016-06-01 00:00:00
197,2099.330078,2016-07-01 00:00:00
198,2102.949951,2016-08-01 00:00:00
199,2170.840088,2016-09-01 00:00:00
200,2170.860107,2016-10-01 00:00:00
201,2161.199951,2016-11-01 00:00:00
202,2111.719971,2016-12-01 00:00:00
203,2191.080078,2017-01-01 00:00:00
204,2257.830078,2017-02-01 00:00:00
205,2279.550049,2017-03-01 00:00:00
206,2395.959961,2017-04-01 00:00:00
207,2358.840088,2017-05-01 00:00:00
208,2388.330078,2017-06-01 00:00:00
209,2430.060059,2017-07-01 00:00:00
210,2429.01001,2017-08-01 00:00:00
211,2476.350098,2017-09-01 00:00:00
212,2476.550049,2017-10-01 00:00:00
213,2529.120117,2017-11-01 00:00:00
214,2579.360107,2017-12-01 00:00:00
215,2642.219971,2018-01-01 00:00:00
216,2695.810059,2018-02-01 00:00:00
217,2821.97998,2018-03-01 00:00:00
218,2677.669922,2018-04-01 00:00:00
219,2581.879883,2018-05-01 00:00:00
220,2654.800049,2018-06-01 00:00:00
221,2734.620117,2018-07-01 00:00:00
222,2726.709961,2018-08-01 00:00:00
223,2813.360107,2018-09-01 00:00:00
224,2896.719971,2018-10-01 00:00:00
225,2924.590088,2018-11-01 00:00:00
226,2740.370117,2018-12-01 00:00:00
